Date,Q-P1,Q-P2,Q-P3,Q-P4,S-P1,S-P2,S-P3,S-P4
2022-01-01,1706,302,5432,935,5408.02,1914.68,29441.44,6666.55
2022-01-02,2335,2595,1169,416,7401.95,16452.3,6335.98,2966.08
2022-01-03,2217,3730,5163,1312,7027.89,23648.2,27983.46,9354.56
2022-01-04,2045,3252,3509,436,6482.65,20617.68,19018.78,3108.68
2022-01-05,2461,2990,1107,1527,7801.37,18956.6,5999.94,10887.51
2022-01-06,3213,308,4103,1829,10185.21,1952.72,22238.26,13040.77
2022-01-07,3373,2850,4955,767,10692.41,18069.0,26856.1,5468.71
2022-01-08,7365,3929,3415,624,23347.05,24909.86,18509.3,4449.12
2022-01-09,7113,2966,2201,421,22548.21,18804.44,11929.42,3001.73
2022-01-10,2411,1137,1857,1661,7642.87,7208.58,10064.94,11842.93
2022-01-11,622,335,4327,1699,1971.74,2123.9,23452.34,12113.87
2022-01-12,3352,2258,4241,1190,10625.84,14315.72,22986.22,8484.7
2022-01-13,2292,2602,1332,791,7265.64,16496.68,7219.44,5639.83
2022-01-14,5324,1857,840,1492,16877.08,11773.38,4552.8,10637.96
2022-01-15,4613,728,1303,1638,14623.21,4615.52,7062.26,11678.94
2022-01-16,6671,2029,854,790,21147.07,12863.86,4628.68,5632.7
2022-01-17,4640,466,2234,1963,14708.8,2954.44,12108.28,13996.19
2022-01-18,7156,502,5210,1403,22684.52,3182.68,28238.2,10003.39
2022-01-19,4530,3172,5166,693,14360.1,20110.48,27999.72,4941.09
2022-01-20,4935,2747,2926,742,15643.95,17415.98,15858.92,5290.46
2022-01-21,6157,974,4082,1863,19517.69,6175.16,22124.44,13283.19
2022-01-22,1075,2755,714,1905,3407.75,17466.7,3869.88,13582.65
2022-01-23,5197,2819,1813,1186,16474.49,17872.46,9826.46,8456.18
2022-01-24,1686,1561,2003,659,5344.62,9896.74,10856.26,4698.67
2022-01-25,4999,516,2360,1063,15846.83,3271.44,12791.2,7579.19
2022-01-26,5041,2918,5153,257,15979.97,18500.12,27929.26,1832.41
2022-01-27,676,3307,1757,386,2142.92,20966.38,9522.94,2752.18
2022-01-28,6793,1587,1294,1152,21533.81,10061.58,7013.48,8213.76
2022-01-29,7098,990,929,1041,22500.66,6276.6,5035.18,7422.33
2022-01-30,6244,3092,4362,1507,19793.48,19603.28,23642.04,10744.91
2022-01-31,7046,1115,3854,335,22335.82,7069.1,20888.68,2388.55
